"","Rank","feature","Top50"
"837",20,0,1
"838",22,0,1
"839",23,0,1
"840",24,0,1
"841",25,0,1
"842",26,0,1
"843",27,0,1
"844",28,0,1
"845",29,0,1
"846",30,0,1
"847",31,0,1
"848",32,0,1
"849",33,0,1
"850",34,0,1
"851",35,0,1
"852",36,0,1
"853",37,0,1
"854",38,0,1
"855",39,0,1
"856",40,0,1
"857",42,0,1
"858",43,0,1
"859",44,0,1
"860",45,0,1
"861",46,0,1
"862",49,0,1
"863",50,0,1
"864",51,0,0
"865",52,0,0
"866",53,0,0
"867",54,0,0
"868",55,0,0
"869",56,0,0
"870",57,0,0
"871",58,0,0
"872",59,0,0
"873",60,0,0
"874",62,0,0
"875",64,0,0
"876",65,0,0
"877",66,0,0
"878",67,0,0
"879",68,0,0
"880",69,0,0
"881",70,0,0
"882",71,0,0
"883",72,0,0
"884",73,0,0
"885",74,0,0
"886",75,0,0
"887",76,0,0
"888",77,0,0
"889",78,0,0
"890",79,0,0
"891",80,0,0
"892",82,0,0
"893",83,0,0
"894",84,1,0
"895",85,0,0
"896",86,0,0
"897",87,0,0
"898",88,0,0
"899",89,0,0
"900",90,0,0
"901",91,0,0
"902",92,0,0
"903",93,0,0
"904",94,0,0
"905",95,0,0
"906",96,0,0
"907",97,0,0
"908",98,0,0
"909",99,0,0
"910",100,0,0
"911",1,0,1
"912",2,0,1
"913",3,0,1
"914",4,0,1
"915",5,0,1
"916",6,0,1
"917",7,0,1
"918",8,0,1
"919",9,0,1
"920",10,0,1
"921",11,0,1
"922",12,0,1
"923",13,0,1
"924",14,0,1
"925",15,0,1
"926",16,0,1
"927",17,0,1
"928",19,0,1
"929",20,0,1
"930",22,0,1
"931",23,0,1
"932",24,0,1
"933",25,0,1
"934",26,0,1
"935",27,0,1
"936",28,0,1
"937",29,0,1
"938",30,0,1
"939",31,0,1
"940",32,0,1
"941",33,0,1
"942",34,0,1
"943",35,0,1
"944",36,0,1
"945",37,0,1
"946",38,0,1
"947",39,0,1
"948",40,0,1
"949",41,0,1
"950",43,0,1
"951",44,0,1
"952",45,0,1
"953",46,0,1
"954",47,0,1
"955",48,0,1
"956",49,0,1
"957",50,0,1
"958",52,0,0
"959",53,0,0
"960",54,0,0
"961",55,0,0
"962",56,0,0
"963",57,0,0
"964",58,0,0
"965",59,0,0
"966",60,0,0
"967",61,0,0
"968",62,0,0
"969",63,0,0
"970",64,0,0
"971",65,0,0
"972",67,0,0
"973",68,0,0
"974",69,0,0
"975",70,0,0
"976",71,0,0
"977",72,0,0
"978",73,0,0
"979",74,0,0
"980",75,0,0
"981",76,0,0
"982",77,0,0
"983",78,0,0
"984",79,0,0
"985",80,0,0
"986",81,0,0
"987",82,0,0
"988",83,0,0
"989",84,0,0
"990",86,0,0
"991",87,0,0
"992",88,0,0
"993",89,0,0
"994",90,0,0
"995",91,0,0
"996",92,0,0
"997",94,0,0
"998",95,0,0
"999",96,0,0
"1000",97,0,0
"1001",99,0,0
"1002",1,0,1
"1003",3,0,1
"1004",4,0,1
"1005",5,0,1
"1006",6,0,1
"1007",7,0,1
"1008",8,0,1
"1009",9,0,1
"1010",11,0,1
"1011",12,0,1
"1012",13,0,1
"1013",14,0,1
"1014",15,0,1
"1015",16,0,1
"1016",17,0,1
"1017",18,0,1
"1018",19,0,1
"1019",20,0,1
"1020",21,0,1
"1021",22,0,1
"1022",23,0,1
"1023",24,0,1
"1024",25,0,1
"1025",26,0,1
"1026",27,0,1
"1027",28,0,1
"1028",30,0,1
"1029",31,0,1
"1030",32,0,1
"1031",33,0,1
"1032",34,0,1
"1033",35,0,1
"1034",36,0,1
"1035",37,0,1
"1036",38,0,1
"1037",39,0,1
"1038",40,0,1
"1039",41,0,1
"1040",42,0,1
"1041",44,0,1
"1042",46,0,1
"1043",47,0,1
"1044",48,0,1
"1045",49,0,1
"1046",50,0,1
"1047",51,0,0
"1048",52,0,0
"1049",53,0,0
"1050",54,0,0
"1051",55,0,0
"1052",56,0,0
"1053",57,0,0
"1054",58,0,0
"1055",59,0,0
"1056",60,0,0
"1057",61,0,0
"1058",62,0,0
"1059",63,0,0
"1060",64,0,0
"1061",65,0,0
"1062",66,0,0
"1063",67,0,0
"1064",68,0,0
"1065",69,0,0
"1066",70,0,0
"1067",71,0,0
"1068",72,0,0
"1069",73,0,0
"1070",74,0,0
"1071",75,0,0
"1072",76,0,0
"1073",77,0,0
"1074",78,0,0
"1075",79,0,0
"1076",80,0,0
"1077",81,0,0
"1078",82,0,0
"1079",83,0,0
"1080",84,0,0
"1081",85,0,0
"1082",86,0,0
"1083",87,0,0
"1084",88,0,0
"1085",89,0,0
"1086",90,0,0
"1087",91,0,0
"1088",92,0,0
"1089",93,0,0
"1090",94,0,0
"1091",95,0,0
"1092",96,0,0
"1093",98,0,0
"1094",99,0,0
"1095",100,0,0
"1096",1,0,1
"1097",2,0,1
"1098",3,0,1
"1099",4,0,1
"1100",5,0,1
"1101",6,0,1
"1102",7,0,1
"1103",9,0,1
"1104",10,0,1
"1105",12,0,1
"1106",13,0,1
"1107",14,0,1
"1108",15,0,1
"1109",16,0,1
"1110",17,0,1
"1111",18,0,1
"1112",19,0,1
"1113",20,0,1
"1114",22,0,1
"1115",23,0,1
"1116",24,0,1
"1117",25,0,1
"1118",26,0,1
"1119",28,0,1
"1120",29,0,1
"1121",30,0,1
"1122",31,0,1
"1123",32,0,1
"1124",33,0,1
